Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
0;False;0;10;0;1
0;False;1;10;2;0.988551
0;False;2;10;0;0.9641397
0;False;3;10;1;0.9449068
0;False;4;10;2;0.9198121
0;False;5;10;3;0.8991455
0;False;6;10;3;0.8809903
0;False;7;9;2;0.86743
0;False;8;10;1;0.8534058
0;False;9;10;1;0.8306907
0;False;10;9;3;0.8089015
0;False;11;10;0;0.7945264
0;False;12;9;2;0.7749762
0;False;13;10;4;0.752542
0;False;14;10;2;0.7442104
0;False;15;10;2;0.7239499
0;False;16;10;1;0.704816
0;False;17;10;2;0.6854594
0;False;18;10;3;0.6616192
0;False;19;10;0;0.6449825
Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
0;False;0;10;0;1
0;False;1;10;2;0.988551
0;False;2;10;0;0.9641397
0;False;3;10;1;0.9449068
0;False;4;10;2;0.9198121
0;False;5;10;3;0.8991455
0;False;6;10;3;0.8809903
0;False;7;9;2;0.86743
0;False;8;10;1;0.8534058
0;False;9;10;1;0.8306907
0;False;10;9;3;0.8089015
0;False;11;10;0;0.7945264
0;False;12;9;2;0.7749762
0;False;13;10;4;0.752542
0;False;14;10;2;0.7442104
0;False;15;10;2;0.7239499
0;False;16;10;1;0.704816
0;False;17;10;2;0.6854594
0;False;18;10;3;0.6616192
0;False;19;10;0;0.6449825
Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
0;False;0;10;0;1
0;False;1;10;2;0.988551
0;False;2;10;0;0.9641397
0;False;3;10;1;0.9449068
0;False;4;10;2;0.9198121
0;False;5;10;3;0.8991455
0;False;6;10;3;0.8809903
0;False;7;9;2;0.86743
0;False;8;10;1;0.8534058
0;False;9;10;1;0.8306907
0;False;10;9;3;0.8089015
0;False;11;10;0;0.7945264
0;False;12;9;2;0.7749762
0;False;13;10;4;0.752542
0;False;14;10;2;0.7442104
0;False;15;10;2;0.7239499
0;False;16;10;1;0.704816
0;False;17;10;2;0.6854594
0;False;18;10;3;0.6616192
0;False;19;10;0;0.6449825
Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
0;False;0;10;0;1
0;False;1;10;2;0.988551
0;False;2;10;0;0.9641397
0;False;3;10;1;0.9449068
0;False;4;10;2;0.9198121
0;False;5;10;3;0.8991455
0;False;6;10;3;0.8809903
0;False;7;9;2;0.86743
0;False;8;10;1;0.8534058
0;False;9;10;1;0.8306907
0;False;10;9;3;0.8089015
0;False;11;10;0;0.7945264
0;False;12;9;2;0.7749762
0;False;13;10;4;0.752542
0;False;14;10;2;0.7442104
0;False;15;10;2;0.7239499
0;False;16;10;1;0.704816
0;False;17;10;2;0.6854594
0;False;18;10;3;0.6616192
0;False;19;10;0;0.6449825
Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
0;False;0;10;0;1
0;False;1;10;2;0.988551
0;False;2;10;0;0.9641397
0;False;3;10;1;0.9449068
0;False;4;10;2;0.9198121
0;False;5;10;3;0.8991455
0;False;6;10;3;0.8809903
0;False;7;9;2;0.86743
0;False;8;10;1;0.8534058
0;False;9;10;1;0.8306907
0;False;10;9;3;0.8089015
0;False;11;10;0;0.7945264
0;False;12;9;2;0.7749762
0;False;13;10;4;0.752542
0;False;14;10;2;0.7442104
0;False;15;10;2;0.7239499
0;False;16;10;1;0.704816
0;False;17;10;2;0.6854594
0;False;18;10;3;0.6616192
0;False;19;10;0;0.6449825

